Index Data
Index,Value,Volume,Change,Change(%)
JSE-Index,349760.940000,3082297.000000,-4819.370000,-1.359170
All-Jamaican,383883.070000,3082297.000000,-5289.540000,-1.359170
JSE-Select,9287.280000,1906782.000000,-272.440000,-2.849870




Ordinary Shares
Security,"Last Traded Price","Close Price ","Price Change","Closing Bid ","Closing Ask","Volume (non block)","Todays High","Todays Low","52 Week High","52 Week Low","Prev Yr Div","Current Yr Div"
138SL,3.810000,3.810000,.000000,3.800000,3.810000,.000000,.000000,.000000,6.150000,3.800000,,
1834,1.100000,1.100000,.000000,1.100000,1.150000,.000000,.000000,.000000,1.550000,.900000,.080000,
BIL,19.000000,19.120000,-.650000,19.010000,20.000000,3000.000000,19.770000,19.000000,21.000000,7.000000,.110000,.890000
BRG,22.950000,22.950000,.250000,22.000000,22.950000,924.000000,22.950000,22.950000,24.000000,14.000000,.500000,.285000
CCC,45.000000,43.110000,.450000,44.000000,45.000000,16795.000000,45.000000,42.250000,56.000000,30.000000,,
CAR,9.000000,8.990000,.150000,8.990000,9.000000,129589.000000,9.000000,8.900000,11.850000,8.500000,5.980000,.680000
CBNY,.140000,.140000,.000000,.140000,.160000,518577.000000,.140000,.140000,.500000,.070000,,
GK,55.000000,55.830000,.070000,56.000000,56.500000,2739.000000,57.000000,55.000000,75.000000,40.010000,1.130000,.850000
JBG,30.000000,29.960000,.060000,29.750000,30.000000,32342.000000,30.000000,29.750000,33.000000,17.010000,.350000,.360000
JP,24.500000,24.500000,-.050000,24.500000,24.510000,123549.000000,24.510000,24.500000,33.000000,14.000000,.120000,
JSE,10.000000,10.070000,-.380000,9.500000,10.000000,37505.000000,10.450000,10.000000,12.000000,6.000000,.145600,.299500
JMMBGL,33.000000,32.640000,-.710000,33.010000,33.500000,25600.000000,33.000000,32.000000,40.000000,22.000000,.430000,.270000
KPREIT,6.000000,6.000000,.000000,5.750000,6.000000,.000000,.000000,.000000,8.030000,5.000000,,
KW,75.000000,75.000000,-.300000,75.000000,75.950000,7000.000000,75.130000,75.000000,85.000000,30.050000,.370000,.410000
MIL,10.000000,10.000000,-.310000,9.800000,10.200000,12771.000000,10.000000,10.000000,11.700000,4.280000,.230000,
MJE,10.300000,10.150000,-.350000,10.000000,10.300000,47475.000000,10.300000,10.000000,16.000000,8.200000,,
NCBFG,127.000000,125.900000,.120000,126.810000,127.000000,94502.000000,127.000000,125.000000,134.000000,89.250000,,2.100000
PAL,1500.000000,1425.000000,.000000,.000000,1300.000000,.000000,.000000,.000000,1500.000000,560.000000,1.000000,
PJAM,61.560000,61.560000,-.420000,61.600000,62.000000,29500.000000,61.600000,61.560000,67.000000,37.120000,1.050000,.750000
PJX,8.000000,8.000000,.000000,8.000000,8.500000,.000000,.000000,.000000,11.500000,7.800000,,
ProvenJA,27.000000,27.000000,.000000,26.500000,.000000,.000000,.000000,.000000,30.000000,26.000000,1.119350,.709791
PULS,3.000000,2.930000,-.010000,3.350000,4.000000,90142.000000,3.000000,2.500000,3.950000,1.450000,.080000,.015000
RJR,.950000,.950000,.100000,.850000,.950000,55080.000000,.950000,.950000,1.400000,.770000,.020000,
SJ,37.000000,38.400000,-3.020000,36.200000,37.000000,41540.000000,39.500000,37.000000,47.000000,34.050000,1.280000,1.200000
XFUND,11.700000,12.030000,.530000,12.010000,12.500000,1210.000000,12.500000,11.700000,17.500000,10.680000,.140000,
SALF,21.100000,21.100000,.000000,21.000000,24.800000,466.000000,21.100000,21.100000,26.500000,7.480000,.500000,.500000
SGJ,50.000000,50.110000,-1.170000,48.500000,51.990000,1085516.000000,51.990000,50.000000,64.000000,48.000000,1.800000,1.920000
SEP,39.000000,37.460000,1.160000,36.400000,39.000000,2923.000000,39.000000,37.000000,62.000000,25.000000,.950000,.500000
SML,4.500000,4.500000,-.100000,4.480000,4.500000,13500.000000,4.500000,4.500000,5.500000,4.200000,,
SIL,20.500000,20.500000,.000000,18.000000,20.500000,.000000,.000000,.000000,28.000000,7.800000,,.452850
SVL,17.000000,16.080000,-.830000,15.800000,17.490000,486361.000000,17.500000,16.000000,24.000000,9.000000,.390000,.650000
SCIJMD,12.000000,12.000000,1.000000,12.000000,12.500000,21338.000000,12.000000,12.000000,17.000000,10.000000,,
SCIJA,11.420000,11.420000,.000000,.000000,.000000,.000000,.000000,.000000,11.420000,11.420000,,
VMIL,4.000000,4.010000,.000000,4.010000,4.150000,27000.000000,4.010000,4.000000,4.850000,3.010000,,
WISYNCO,10.400000,10.380000,-.120000,10.350000,10.400000,175353.000000,10.510000,10.000000,13.810000,8.700000,,




Preference Shares
Security,"Last Traded Price","Close Price ","Price Change","Closing Bid ","Closing Ask","Volume (non block)","Todays High","Todays Low","52 Week High","52 Week Low","Prev Yr Div","Current Yr Div"
138SLVR,5.680000,5.680000,.000000,.000000,.000000,.000000,.000000,.000000,5.690000,5.680000,,
CAB11B,1000000.000000,1000000.000000,.000000,.000000,.000000,.000000,.000000,.000000,,,,
JMMB7.25,2.550000,2.550000,.000000,.000000,.000000,.000000,.000000,.000000,2.600000,2.480000,.272293,.107751
JMMB7.5,1.850000,1.850000,.000000,.000000,.000000,.000000,.000000,.000000,2.000000,1.800000,.180539,.089173
JPS5C,.380000,.380000,.000000,.380000,.000000,.000000,.000000,.000000,,,.100000,.075000
JPS5D,.380000,.380000,.000000,.000000,.000000,.000000,.000000,.000000,,,.100000,.075000
JPS6,.440000,.440000,.000000,.440000,.000000,.000000,.000000,.000000,,,.120000,.090000
JPS9.5,1302.000000,1302.000000,.000000,.000000,.000000,.000000,.000000,.000000,1302.000000,1302.000000,,
JPS7,.480000,.480000,.000000,.000000,.000000,.000000,.000000,.000000,,,.140000,.105000
JMMBGL7.00NC,2.000000,2.000000,.000000,.000000,2.000000,.000000,.000000,.000000,2.110000,2.000000,,
JMMBGL7.25C,2.120000,2.120000,.000000,2.120000,.000000,.000000,.000000,.000000,2.450000,2.000000,,
JMMBGL7.25,1.550000,1.550000,.000000,1.550000,.000000,.000000,.000000,.000000,1.550000,1.500000,.117500,.092798
JMMBGL7.50,1.060000,1.060000,.000000,1.030000,1.040000,.000000,.000000,.000000,1.190000,.850000,.075600,.062746
PBS9.75,105.000000,105.000000,.000000,.000000,.000000,.000000,.000000,.000000,105.000000,100.000000,,
"PROVEN8.25      ",5.170000,5.170000,.000000,.000000,.000000,.000000,.000000,.000000,6.000000,5.000000,,.206250
SBJPSA,1.010000,1.010000,.000000,.000000,.000000,.000000,.000000,.000000,1.040000,1.010000,,
SBJPSB,.000000,1.000000,.000000,.000000,.000000,.000000,.000000,.000000,,,,




