Date and Time,Latitude,Longitude,Magnitude,Depth
 15-NOV-2019 22:02:02 , 1.57 , 126.44 ,4.7 ,31 
 15-NOV-2019 21:07:00 , 16.94 , -85.56 ,4.4 ,10 
 15-NOV-2019 21:02:04 , -3.45 , 128.33 ,4.5 ,35 
 15-NOV-2019 18:15:12 , 37.15 , 23.90 ,4.5 ,11 
 15-NOV-2019 17:16:42 , -33.98 , -72.28 ,5.3 ,15 
 15-NOV-2019 16:43:49 , 1.66 , 126.69 ,4.4 ,28 
 15-NOV-2019 12:52:23 , 1.64 , 126.39 ,5.1 ,35 
 15-NOV-2019 12:41:34 , 1.37 , 126.52 ,4.6 ,35 
 15-NOV-2019 12:08:29 , 1.77 , 126.64 ,4.4 ,35 
 15-NOV-2019 11:40:30 , -8.40 , 116.07 ,4.4 ,10 
 15-NOV-2019 09:36:23 , 1.54 , 126.43 ,5.0 ,35 
 15-NOV-2019 08:08:49 , 1.56 , 126.53 ,5.0 ,35 
 15-NOV-2019 07:50:01 , 41.48 , 20.70 ,4.4 ,96 
 15-NOV-2019 07:06:54 , -4.47 , 101.77 ,4.8 ,47 
 15-NOV-2019 06:08:35 , 1.57 , 126.42 ,4.5 ,35 
 15-NOV-2019 05:53:17 , -6.92 , 130.42 ,4.5 ,102 
 15-NOV-2019 05:47:18 , 1.67 , 126.42 ,4.9 ,35 
 15-NOV-2019 05:34:49 , 1.56 , 126.35 ,5.0 ,35 
 15-NOV-2019 05:27:53 , 1.57 , 126.33 ,4.9 ,35 
 15-NOV-2019 04:42:11 , 1.47 , 126.30 ,4.9 ,35 
 15-NOV-2019 03:58:51 , 1.67 , 126.47 ,4.6 ,35 
 15-NOV-2019 03:13:00 , 1.67 , 126.54 ,5.0 ,35 
 15-NOV-2019 02:06:29 , 1.62 , 126.41 ,4.5 ,35 
 15-NOV-2019 01:57:26 , 13.25 , 119.94 ,4.8 ,40 
 15-NOV-2019 01:36:28 , 6.87 , 126.72 ,4.5 ,179 
 15-NOV-2019 01:17:38 , 1.60 , 126.36 ,5.9 ,44 
 15-NOV-2019 00:39:08 , 2.24 , 126.65 ,4.8 ,35 
 14-NOV-2019 23:59:43 , 1.68 , 126.42 ,4.8 ,35 
 14-NOV-2019 23:17:21 , 1.60 , 126.35 ,5.5 ,33 
