Date and Time,Latitude,Longitude,Magnitude,Depth
 25-OCT-2019 02:35:57 , -11.83 , -77.57 ,4.4 ,35 
 25-OCT-2019 02:35:02 , -2.67 , 138.34 ,4.6 ,45 
 25-OCT-2019 01:56:38 , 36.50 , 71.11 ,4.0 ,239 
 25-OCT-2019 01:22:35 , 45.82 , 150.81 ,4.2 ,107 
 25-OCT-2019 00:37:45 , 12.15 , -87.89 ,4.5 ,35 
 24-OCT-2019 21:06:47 , 36.44 , 28.68 ,4.6 ,10 
 24-OCT-2019 19:14:17 , -28.63 , -177.00 ,5.6 ,82 
 24-OCT-2019 18:47:35 , -56.49 , -26.97 ,4.9 ,100 
 24-OCT-2019 14:44:59 , 15.56 , -93.15 ,4.3 ,91 
 24-OCT-2019 13:38:17 , 1.14 , 124.19 ,5.6 ,250 
 24-OCT-2019 10:50:14 , -17.59 , -172.75 ,5.4 ,10 
 24-OCT-2019 10:05:24 , 7.93 , -82.56 ,4.5 ,10 
 24-OCT-2019 08:53:38 , -44.77 , 167.43 ,4.9 ,16 
 24-OCT-2019 06:03:26 , -17.93 , -178.10 ,4.7 ,537 
 24-OCT-2019 03:54:20 , 15.63 , -91.90 ,4.9 ,211 
 24-OCT-2019 00:33:34 , -19.43 , -177.43 ,5.2 ,370 
 23-OCT-2019 23:57:21 , -26.30 , -70.96 ,4.1 ,25 
 23-OCT-2019 22:44:28 , -12.80 , 45.37 ,4.4 ,10 
 23-OCT-2019 21:48:52 , -24.21 , -67.23 ,4.3 ,193 
 23-OCT-2019 19:09:55 , 24.85 , 123.47 ,4.7 ,88 
 23-OCT-2019 18:43:52 , -31.47 , -71.68 ,4.7 ,40 
 23-OCT-2019 16:08:14 , -1.05 , -13.83 , 6.3 ,10 
 23-OCT-2019 15:30:14 , -55.94 , -27.81 ,5.6 ,68 
 23-OCT-2019 15:02:35 , 41.95 , 142.53 ,4.6 ,57 
 23-OCT-2019 14:09:29 , -18.11 , -174.49 ,5.1 ,10 
 23-OCT-2019 13:12:19 , -2.82 , 138.39 ,4.1 ,43 
 23-OCT-2019 12:29:14 , 6.82 , -73.00 ,4.4 ,156 
 23-OCT-2019 11:34:45 , 2.51 , 128.81 ,4.5 ,55 
 23-OCT-2019 10:36:18 , -2.68 , 138.47 ,4.6 ,10 
 23-OCT-2019 10:22:18 , 6.76 , 125.03 ,4.4 ,10 
 23-OCT-2019 09:05:29 , -21.99 , 170.25 ,4.7 ,10 
 23-OCT-2019 05:56:45 , -2.69 , 138.25 ,5.0 ,48 
 23-OCT-2019 04:49:44 , -21.89 , 169.01 ,5.0 ,31 
 23-OCT-2019 03:50:44 , -2.69 , 138.28 ,5.4 ,10 
 23-OCT-2019 03:43:19 , 39.73 , 141.85 ,4.7 ,60 
 23-OCT-2019 00:22:10 , -2.65 , 138.33 ,4.9 ,10 
 22-OCT-2019 23:25:59 , 17.32 , -101.13 ,4.4 ,10 
 22-OCT-2019 23:12:25 , 73.96 , -74.09 ,4.6 ,10 
 22-OCT-2019 22:54:04 , -2.60 , 138.22 ,5.1 ,14 
 22-OCT-2019 22:31:14 , -2.95 , 138.15 ,4.6 ,48 
 22-OCT-2019 22:11:06 , -2.43 , 99.84 ,5.1 ,12 
 22-OCT-2019 22:04:03 , -2.74 , 138.35 ,4.5 ,49 
 22-OCT-2019 21:44:22 , -2.63 , 138.27 ,5.1 ,39 
 22-OCT-2019 21:42:01 , -2.72 , 138.22 ,5.1 ,50 
 22-OCT-2019 20:54:18 , 26.62 , 141.20 ,4.8 ,99 
 22-OCT-2019 19:24:23 , -2.75 , 138.34 ,5.1 ,10 
 22-OCT-2019 19:15:28 , -2.89 , 138.24 ,5.5 ,10 
 22-OCT-2019 18:45:54 , 6.72 , 125.04 ,4.5 ,17 
 22-OCT-2019 16:15:38 , -2.95 , -79.66 ,4.6 ,71 
 22-OCT-2019 14:03:52 , -19.69 , 169.80 ,4.6 ,21 
 22-OCT-2019 13:19:17 , 36.15 , 78.35 ,4.4 ,37 
 22-OCT-2019 13:13:49 , -9.56 , 118.26 ,4.8 ,77 
 22-OCT-2019 11:03:02 , -15.10 , -172.79 ,4.9 ,10 
 22-OCT-2019 10:29:52 , -6.72 , 130.03 ,4.0 ,135 
 22-OCT-2019 08:06:03 , 42.33 , 144.30 ,4.6 ,38 
 22-OCT-2019 04:18:38 , -15.20 , -173.05 ,5.8 ,10 
 22-OCT-2019 02:58:27 , -18.98 , -172.20 ,4.5 ,10 
 22-OCT-2019 01:30:40 , 19.26 , 95.68 ,4.9 ,10 
 22-OCT-2019 01:06:09 , 8.12 , 94.40 ,4.8 ,162 
 22-OCT-2019 00:03:54 , -2.45 , 99.75 ,4.9 ,10 
 21-OCT-2019 23:49:04 , -2.63 , 99.59 ,5.4 ,10 
 21-OCT-2019 20:50:37 , -15.47 , -74.76 ,4.7 ,51 
 21-OCT-2019 17:26:35 , 33.47 , 81.41 ,4.0 ,10 
 21-OCT-2019 17:17:50 , 33.20 , 138.02 ,4.1 ,294 
 21-OCT-2019 16:23:24 , -15.51 , 168.00 ,4.4 ,180 
 21-OCT-2019 15:37:31 , -9.25 , 128.62 ,4.2 ,10 
 21-OCT-2019 15:13:06 , -14.88 , -173.31 ,4.8 ,10 
 21-OCT-2019 13:53:06 , 6.69 , 124.99 ,4.4 ,10 
 21-OCT-2019 13:47:14 , 43.28 , -126.83 ,4.6 ,10 
 21-OCT-2019 13:17:41 , 6.71 , 60.27 ,4.5 ,10 
 21-OCT-2019 10:58:52 , 27.21 , 54.98 ,5.4 ,10 
 21-OCT-2019 10:43:36 , -20.73 , -179.03 ,5.3 ,631 
 21-OCT-2019 09:36:22 , -38.92 , -72.86 ,4.9 ,58 
 21-OCT-2019 08:55:25 , 13.17 , -90.27 ,4.5 ,35 
 21-OCT-2019 07:41:57 , 3.49 , 64.20 ,5.0 ,10 
 21-OCT-2019 03:44:11 , 56.10 , -149.78 ,4.2 ,10 
 21-OCT-2019 02:52:29 , -19.04 , 169.45 , 6.4 ,226 
 21-OCT-2019 02:46:23 , -8.81 , 157.53 ,4.6 ,10 
 21-OCT-2019 02:23:15 , 1.38 , 126.69 ,4.6 ,73 
 20-OCT-2019 21:01:08 , -3.04 , 138.10 ,4.4 ,48 
 20-OCT-2019 18:39:29 , 13.09 , 121.04 ,4.7 ,67 
 20-OCT-2019 18:32:48 , 6.63 , 125.14 ,4.5 ,10 
 20-OCT-2019 15:30:05 , -14.62 , 167.48 ,4.5 ,160 
 20-OCT-2019 12:20:40 , 6.62 , 125.25 ,4.7 ,10 
 20-OCT-2019 11:59:43 , 6.65 , 125.19 ,5.1 ,10 
 20-OCT-2019 11:50:35 , 6.67 , 125.17 ,4.9 ,10 
 20-OCT-2019 11:49:10 , -2.97 , 138.29 ,4.3 ,33 
 20-OCT-2019 11:40:22 , -24.36 , -67.38 ,4.3 ,201 
 20-OCT-2019 09:14:04 , -32.66 , -14.45 ,4.8 ,10 
 20-OCT-2019 08:55:32 , 6.59 , 125.05 ,5.2 ,10 
 20-OCT-2019 08:08:50 , -18.55 , -172.29 ,5.3 ,10 
 20-OCT-2019 08:05:36 , -18.44 , -172.17 ,4.8 ,10 
 20-OCT-2019 06:57:43 , -9.72 , 112.82 ,4.4 ,35 
 20-OCT-2019 04:42:52 , 41.93 , 142.38 ,4.4 ,64 
 20-OCT-2019 04:32:04 , -18.77 , -172.38 ,5.0 ,10 
 20-OCT-2019 04:26:35 , -18.59 , -172.03 ,4.9 ,10 
 20-OCT-2019 02:19:43 , 40.81 , 142.50 ,4.3 ,40 
 19-OCT-2019 21:51:34 , 2.03 , 128.61 ,4.7 ,54 
 19-OCT-2019 20:31:56 , -18.88 , 178.08 ,5.7 ,37 
 19-OCT-2019 19:36:43 , -1.40 , 150.35 ,4.8 ,35 
 19-OCT-2019 19:32:43 , -55.56 , -25.85 ,5.0 ,44 
 19-OCT-2019 18:33:54 , 14.17 , -90.07 ,4.3 ,175 
 19-OCT-2019 18:29:06 , 7.32 , -80.38 ,4.2 ,12 
 19-OCT-2019 17:28:31 , -37.92 , 176.43 ,4.3 ,170 
 19-OCT-2019 16:39:00 , -61.73 , -54.16 ,4.6 ,24 
 19-OCT-2019 16:32:44 , -18.41 , -172.09 ,5.0 ,10 
 19-OCT-2019 14:29:19 , -8.78 , 127.48 ,5.2 ,10 
 19-OCT-2019 14:09:23 , -5.72 , 152.09 ,4.6 ,54 
 19-OCT-2019 12:42:08 , 14.00 , 145.41 ,5.2 ,94 
 19-OCT-2019 11:53:12 , -18.67 , -172.47 ,5.3 ,10 
